,index,rname,fcategory,Rating,lat,long,address,city,phone
24,24,Pearl Diver,Seafood,4.0,43.65163,-79.37375,100 Adelaide Street E,Toronto,+1 416-366-7827
25,25,The Elm Tree Restaurant,Mediterranean,4.5,43.6572873032448,-79.3836965529587,43 Elm Street,Toronto,+1 416-901-7339
26,26,Ontario Spring Water Sake Company,Breweries,4.5,43.64989,-79.36002,51 Gristmill Lane,Toronto,+1 416-365-7253
27,27,Wychwood Pub,Pubs,2.0,43.6828784,-79.4189154,517 Saint Clair Avenue W,Toronto,+1 416-535-2715
28,28,Maison Selby,French,4.0,43.67112,-79.37705,592 Sherbourne Street,Toronto,+1 647-943-1676
29,29,Katsuya,Japanese,4.5,43.65995,-79.37882,66 Gerrard Street E,Toronto,+1 416-591-7756
30,30,Byblos,Mediterranean,4.5,43.647546,-79.388123,11 Duncan Street,Toronto,+1 647-660-0909
31,31,The Shameful Tiki Room,Tiki Bars,4.0,43.64145,-79.43328,1378 Queen W,Toronto,
32,32,Craque de Creme,Desserts,4.0,43.67982,-79.41723,1360 Bathurst Street,Toronto,+1 647-699-8233
33,33,Rasa,Canadian (New),4.5,43.6627752,-79.4039682,196 Robert Street,Toronto,+1 647-350-8221
34,34,The Distillery District,Local Flavor,4.0,43.6501356745219,-79.3594944505402,55 Mill Street,Toronto,+1 416-364-1177
35,35,Tasty Tours,Desserts,4.5,43.6547007,-79.4009335,"Toronto, ON M5T 1L8",Toronto,+1 416-871-7133
36,36,Loch & Quay,Canadian (New),4.0,43.63812,-79.39064,390 Queens Quay W,Toronto,+1 416-595-5444
37,37,Hi-Lo Bar,Bars,4.0,43.6591034463612,-79.3479657363007,753 Queen Street E,Toronto,+1 416-551-3459
38,38,Playa Cabana,Mexican,4.0,43.6759577692695,-79.4011840224266,111 Dupont Street,Toronto,+1 416-929-3911
39,39,The Haam,Japanese,4.0,43.64743,-79.39308,342 Adelaide St W,Toronto,+1 416-977-7258
40,40,Moliceiro Restaurant,Portuguese,4.5,43.64888,-79.42016,217 Ossington Avenue,Toronto,+1 647-345-3019
41,41,"The Westin Harbour Castle, Toronto",Hotels,3.0,43.641066788738,-79.376205722878,1 Harbour Square,Toronto,+1 416-869-1600
42,42,Khao San Road,Thai,4.0,43.64634,-79.39359,11 Charlotte Street,Toronto,+1 647-352-5773
43,43,Grazie Ristorante,Italian,4.0,43.70934,-79.39852,2373 Yonge Street,Toronto,+1 416-488-0822
44,44,Alo Restaurant,Bars,4.5,43.64851,-79.39584,163 Spadina Avenue,Toronto,+1 416-260-2222
45,45,Aloette,French,4.5,43.64851,-79.39584,163 Spadina Avenue,Toronto,+1 416-260-3444
46,46,Agio,Italian,4.5,43.67599,-79.45066,1351 St Clair Avenue W,Toronto,+1 647-348-4814
47,47,Scaramouche Restaurant Pasta Bar & Grill,French,4.5,43.68155,-79.39991,1 Benvenuto Place,Toronto,+1 416-961-8011
48,48,Tinuno,Filipino,4.0,43.6711430082347,-79.374853497263,31 Howard Street,Toronto,+1 647-343-9294
49,49,Joso's,Seafood,4.5,43.6751099,-79.39607,202 Davenport Road,Toronto,+1 416-925-1903
50,50,L'Unita Enoteca,Italian,4.5,43.67431,-79.39668,134 Avenue Road,Toronto,+1 416-964-8686
51,51,The Oxley,Gastropubs,4.0,43.6707168,-79.393126,121 Yorkville Avenue,Toronto,+1 647-348-1300
52,52,The Hazelton Hotel,Hotels,4.5,43.6708347,-79.3937136,118 Yorkville Avenue,Toronto,+1 416-963-6300
53,53,The Piston,Music Venues,3.5,43.6614,-79.42758,937 Bloor Street,Toronto,+1 416-532-3989
54,54,Ramona's Kitchen,Breakfast & Brunch,5.0,43.66632,-79.40655,384 Bloor St West,Toronto,+1 905-597-9220
55,55,Koh Lipe Thai Kitchen,Thai,4.0,43.65586,-79.39347,35 Baldwin Street,Toronto,+1 416-599-9988
56,56,Mangia & Bevi,Italian,4.0,43.6522238965965,-79.366307258606,260 King Street E,Toronto,+1 416-613-1236
57,57,The Lockhart,Bars,4.0,43.64947,-79.43111,1479 Dundas Street W,Toronto,+1 647-748-4434
58,58,Casa Fuego,Steakhouses,4.5,43.6485,-79.3882,230 Adelaide Street West,Toronto,+1 647-748-3210
59,59,Trattoria Nervosa,Italian,4.0,43.67101,-79.39104,75 Yorkville Avenue,Toronto,+1 416-961-4642
60,60,Kintaro Izakaya,Japanese,4.0,43.66417,-79.38006,459 Church Street,Toronto,+1 647-560-5335
61,61,Si Lom Thai Bistro,Thai,4.0,43.66503,-79.38082,534 Church Street,Toronto,+1 416-515-0888
62,62,Giulietta,Italian,4.0,43.65353,-79.42764,972 College Street W,Toronto,+1 416-964-0606
63,63,Mildred's Temple Kitchen,Breakfast & Brunch,4.0,43.6399108749312,-79.4204235076904,85 Hanna Avenue,Toronto,+1 416-588-5695
64,64,Seven Lives Tacos Y Mariscos,Mexican,4.5,43.6543411559068,-79.4004796072841,69 Kensington Avenue,Toronto,+1 416-393-4636
65,65,Catering by Mario,Caterers,5.0,43.85456,-79.37885,95 E Beaver Creek Road,Richmond Hill,+1 905-881-0477
66,66,Jacobs & Co. Steakhouse,Steakhouses,4.5,43.64539876116,-79.3980279011192,12 Brant Street,Toronto,+1 416-366-0200
67,67,Juicy Dumpling,Dim Sum,4.0,43.6527250786074,-79.3986365944147,280 Spadina Ave,Toronto,+1 647-352-5678
68,68,Demen Bistro,Vietnamese,4.5,43.6479352959741,-79.4012527540326,500 Queen Street W,Toronto,+1 416-364-2888
69,69,Hawaii Bar,Bars,4.5,43.66708,-79.43136,989 Dovercourt Road,Toronto,+1 416-588-9888
70,70,Osteria Rialto,Italian,4.0,43.66114,-79.43072,1006 Bloor Street W,Toronto,+1 416-306-8123
71,71,Gyugyuya,Japanese,4.5,43.66607,-79.40773,402 Bloor Street W,Toronto,+1 647-343-7700
72,72,Nodo Restaurant,Italian,4.5,43.6810110636599,-79.4297991693019,794 Saint Clair Avenue W,Toronto,+1 647-748-1559
73,73,Zhang's Kitchen,Chinese,4.0,43.6575942831961,-79.3824705854058,13 Elm Street,Toronto,+1 647-343-4302
74,74,L-Eat Catering,Caterers,5.0,43.7397599,-79.43419,3829 Bathurst Street,Toronto,+1 416-631-9226
75,75,Uber,Taxis,3.0,43.7008247375488,-79.2954788208008,"Toronto, ON M4B 1B4",Toronto,+1 647-931-4827
76,76,Buca,Italian,4.0,43.64462,-79.40045,604 King Street W,Toronto,+1 416-865-1600
77,77,Lobster Burger Bar,Bars,4.0,43.647443,-79.386768,214 King Street W,Toronto,+1 416-598-2929
78,78,Miku,Japanese,4.0,43.6412346,-79.3773697,105-10 Bay Street,Toronto,+1 647-347-7347
79,79,Her Father's Cider Bar & Kitchen,Gastropubs,4.5,43.66232,-79.40453,119 Harbord Street,Toronto,+1 647-347-7747
80,80,Okonomi House Restaurant,Japanese,4.0,43.668311069021,-79.387133746804,23 Charles Street W,Toronto,+1 416-925-6176
81,81,Insomnia Restaurant & Lounge,Lounges,4.0,43.665961,-79.411003,563 Bloor Street W,Toronto,+1 416-588-3907
82,82,Fishman Lobster Clubhouse Restaurant,Chinese,4.0,43.8019756,-79.295159,4020 Finch Avenue E,Toronto,+1 416-321-0250
83,83,Fieramosca,Italian,4.5,43.66963,-79.39719,36A Prince Arthur Avenue,Toronto,+1 416-323-0636
84,84,Ristorante Sotto Sotto,Italian,4.0,43.67374,-79.39646,120 Avenue Road,Toronto,+1 416-962-0011
85,85,Chubby's Jamaican Kitchen,Caribbean,4.0,43.64532,-79.40066,104 Portland Street,Toronto,+1 416-792-8105
86,86,KINKA IZAKAYA ANNEX,Japanese,4.0,43.6650736,-79.4106256,559 Bloor Street West,Toronto,+1 647-343-1101
87,87,Hanmoto,Japanese,4.0,43.6496607271294,-79.4226812887605,2 Lakeview Avenue,Toronto,
88,88,Famiglia Baldassarre,Italian,4.5,43.67052,-79.4350599,122 Geary Avenue,Toronto,+1 647-293-5395
89,89,Honest Weight,Seafood,4.5,43.6653335939817,-79.4614855543404,2766 Dundas Street W,Toronto,+1 416-604-9992
90,90,WAYLA Lounge,Lounges,4.0,43.66131,-79.33955,996 Queen St E,Toronto,+1 416-901-5570
91,91,Planta Yorkville,Tapas/Small Plates,4.0,43.6702150961667,-79.3894335574237,1221 Bay Street,Toronto,+1 647-348-7000
92,92,Yasu,Japanese,4.5,43.66269,-79.40314,81 Harbord Street,Toronto,+1 416-477-2361
93,93,Left Field Brewery,Breweries,4.0,43.67379,-79.3304825,36 Wagstaff Drive,Toronto,+1 647-346-5001
94,94,Gyubee Japanese Grill - Bloor,Barbeque,4.0,43.66716,-79.40047,335 Bloor Street W,Toronto,+1 416-551-9767
95,95,Buca Yorkville,Italian,3.5,43.67214,-79.3894,53 Scollard Street,Toronto,+1 416-962-2822
96,96,FK,French,4.5,43.68127,-79.42869,770 St Clair Avenue W,Toronto,+1 416-551-9731
97,97,Natalie's Kitchen,Caterers,4.5,43.6735777,-79.5490243,516 The Kingsway,Etobicoke,+1 647-999-9564
98,98,GB Hand-pulled Noodles,Chinese,4.0,43.65669,-79.38385,66 Edward Street,Toronto,+1 647-872-1336
99,99,Mill Street Brew Pub,Brewpubs,3.5,43.6504424511321,-79.3584427521102,21 Tank House Lane,Toronto,+1 416-681-0338
100,100,Jin Dal Lae,Korean,4.5,43.664166,-79.41517,647 Bloor Street W,Toronto,+1 416-530-6974
101,101,Evviva Breakfast & Lunch - Downtown Toronto,Breakfast & Brunch,4.0,43.641602,-79.383301,25 Lower Simcoe,Toronto,+1 647-351-4040
102,102,Beast Restaurant,Canadian (New),4.0,43.64408,-79.4057799,96 Tecumseth Street,Toronto,+1 647-352-6000
103,103,I'll Be Seeing You,Cocktail Bars,5.0,43.65901,-79.34805,747 Queen Street E,Toronto,
104,104,Recipieces,Food Delivery Services,4.5,43.6535110473633,-79.3972244262695,"Toronto, ON M5T",Toronto,
105,105,Silver Chopsticks,Vietnamese,5.0,43.69016,-79.57594,621 Dixon Road,Toronto,+1 647-348-8882
106,106,Sugo,Italian,4.5,43.65831,-79.44223,1279 Bloor Street  W,Toronto,+1 416-535-1717
107,107,El Nahual Tacos,Mexican,4.5,43.6663274,-79.4065874,384 Bloor street west,Toronto,+1 416-901-2988
108,108,Lee Restaurant,Asian Fusion,4.0,43.644144,-79.400384,601 King Street W,Toronto,+1 416-504-7867
109,109,Guu Izakaya Toronto,Japanese,4.0,43.6418673011168,-79.4310904074585,1314 Queen Street W,Toronto,+1 647-351-1314
110,110,Nord Bistro,Bistros,4.5,43.6739000396702,-79.4114698306885,406 Dupont Street,Toronto,+1 416-925-6673
111,111,Nodo Restaurant,Italian,4.0,43.6653383989619,-79.4656616449356,2885 Dundas Street West,Toronto,+1 416-901-1559
112,112,Kinoya Sushi Bar,Sushi Bars,4.0,43.64629,-79.38997,293 King Street W,Toronto,+1 416-599-8828
113,113,The Stockyards,American (Traditional),4.0,43.68136,-79.42619,699 St. Clair Avenue W,Toronto,+1 416-658-9666
114,114,Swatow Restaurant,Chinese,4.0,43.65385,-79.39796,309 Spadina Avenue,Toronto,+1 416-977-0601
115,115,Three Monks and a Duck,Asian Fusion,4.5,43.64605,-79.40897,811 Queen Street W,Toronto,+1 416-901-9588
116,116,Cafe Oro Di Napoli,Pizza,4.5,43.6514257145518,-79.3721591972351,75 Jarvis Street,Toronto,+1 416-315-7979
117,117,Dreyfus,French,4.0,43.66302,-79.40327,96 Harbord Street,Toronto,+1 416-323-1385
118,118,Daldongnae,Korean,4.0,43.78971,-79.41825,6034 Yonge Street,Toronto,+1 416-226-6034
119,119,Chinatown Centre,Local Flavor,3.5,43.65093,-79.3978,222 Spadina Avenue,Toronto,+1 416-599-8877
120,120,Tabriz Persian Cookhouse,Persian/Iranian,4.0,43.66529,-79.38722,995 Bay street,Toronto,+1 416-922-2017
121,121,Pantheon Restaurant,Greek,4.0,43.67744,-79.35129,407 Danforth Avenue,Toronto,+1 416-778-1929
122,122,Don Alfonso 1890,Italian,4.0,43.65052,-79.37594,19 Toronto Street,Toronto,+1 416-214-5888
123,123,Assembly Chef's Hall,Food Court,4.0,43.6503522,-79.3837951,111 Richmond Street W,Toronto,+1 647-557-5993
124,124,Bar Isabel,Spanish,4.0,43.65463,-79.42075,797 College Street,Toronto,+1 416-532-2222
125,125,Mogouyan,Noodles,4.0,43.66943,-79.38671,760 Yonge St,Toronto,
126,126,Magical Taste of China,Chinese,4.0,43.6535001316136,-79.3948590382934,405 Dundas Street W,Toronto,+1 647-348-8966
127,127,La Paella,Spanish,4.5,43.6625299,-79.33427,1146 Queen Street E,Toronto,+1 416-546-1055
128,128,Budapest Restaurant,Hungarian,4.5,43.68097,-79.30996,1959 Gerrard Street E,Toronto,+1 647-347-5047
129,129,Dirty Food Eatery,Breakfast & Brunch,4.5,43.66565,-79.47188,3070 Dundas Street W,Toronto,+1 416-855-3393
130,130,Chabrol Restaurant,French,4.0,43.67115,-79.3918,90 Yorkville Avenue,Toronto,+1 416-428-6641
131,131,Ikkousha Ramen,Ramen,4.5,43.65024,-79.38873,249 Queen Street W,Toronto,+1 416-901-2249
132,132,Hotopia Downtown,Chinese,3.5,43.66138,-79.3804,45 Carlton Street,Toronto,+1 416-977-8668
133,133,Pearl Harbourfront Chinese Cuisine,Dim Sum,3.5,43.63877,-79.3806,207 Queens Quay W,Toronto,+1 416-203-1233
134,134,The Senator,Breakfast & Brunch,4.0,43.65574,-79.37896,249 Victoria Street,Toronto,+1 416-364-7517
135,135,Nuit Social,Cocktail Bars,4.5,43.64303,-79.42542,1168 Queen Street W,Toronto,+1 647-350-6848
136,136,Her Chef,Asian Fusion,4.5,43.66457,-79.41292,599 Bloor Street W,Toronto,+1 647-830-7719
137,137,Sisters & Co,Breakfast & Brunch,4.5,43.65097,-79.41172,887 Dundas Street West,Toronto,+1 647-350-7478
138,138,Smoque N' Bones,Barbeque,4.0,43.6457027819391,-79.4107432752393,869 Queen Street W,Toronto,+1 647-341-5730
139,139,Wilbur Mexicana,Mexican,4.0,43.64494,-79.39866,552 King Street W,Toronto,+1 416-792-1878
140,140,Onnki Donburi,Japanese,4.0,43.66996,-79.38455,40 Hayden Street,Toronto,+1 647-349-7707
141,141,Tibet Kitchen,Himalayan/Nepalese,4.5,43.640095,-79.439659,1544 Queen Street W,Toronto,+1 416-913-8726
142,142,DaiLo,Chinese,4.0,43.65574,-79.4098,503 College Street,Toronto,+1 647-341-8882
143,143,Mi Tierra Restaurant,Latin American,4.0,43.68082,-79.43111,828 Street  Clair Ave W,Toronto,+1 416-654-8886
144,144,Korean Village Restaurant,Korean,4.0,43.66461,-79.41444,628 Bloor Street W,Toronto,+1 416-536-0290
145,145,White Lily Diner,Breakfast & Brunch,4.5,43.65881,-79.3511599,678 Queen Street E,Toronto,+1 416-901-7800
146,146,Omai Restaurant,Japanese,4.0,43.6561,-79.39234,3 Baldwin Street,Toronto,+1 647-341-7766
147,147,Jacques' Bistro Du Parc,French,4.0,43.6700941,-79.3920355,126 Cumberland St,Toronto,+1 416-961-1893
148,148,Bar Sybanne,Mediterranean,4.5,43.64913,-79.42028,229 Ossington Avenue,Toronto,+1 647-350-9229
149,149,Baretto Caffe,Cafes,5.0,43.74471,-79.34643,1262 Don Mills Road,Toronto,+1 416-385-0003
150,150,Islas Filipino BBQ and Bar,Filipino,4.5,43.6393,-79.4446,1690 Queen Street W,Toronto,+1 416-533-0777
151,151,Kingyo,Japanese,4.0,43.6658629,-79.3681972,51B Winchester Street,Toronto,+1 647-748-2121
152,152,Odd Seoul,Korean,4.0,43.64619,-79.419686,90 Ossington Avenue,Toronto,+1 647-346-8151
153,153,Cinco Mexican Restaurant,Mexican,4.5,43.643092,-79.447663,131 Roncesvalles Ave,Toronto,+1 647-245-8380
154,154,Anatolia Restaurant,Turkish,4.0,43.64471,-79.53299,5112 Dundas Street W,Toronto,+1 416-207-0596
155,155,Yummy Korean Food Restaurant,Korean,4.0,43.66469,-79.4140199,620 Bloor Street W,Toronto,+1 647-345-6588
156,156,Piano Piano,Italian,3.5,43.7045,-79.3883,623 Mt Pleasant Road,Toronto,+1 416-483-9789
157,157,Five Doors North,Italian,4.0,43.7022152689328,-79.3976143730163,2088 Yonge Street,Toronto,+1 416-480-6234
158,158,Auberge du Pommier,French,4.0,43.7468226,-79.4077734,4150 Yonge Street,Toronto,+1 416-222-2220
159,159,Imm Thai Kitchen,Thai,4.5,43.65484,-79.41598,651 College Street,Toronto,+1 416-532-6888
160,160,Otto's Bierhalle,German,4.0,43.64335,-79.42202,1087 Queen Street W,Toronto,+1 416-901-5472
161,161,La Chingada,Mexican,4.0,43.6495234427446,-79.4242079757355,1242 Dundas Street West,Toronto,+1 416-535-2242
162,162,Viaggio,Italian,4.5,43.6499275270851,-79.4390283152461,1727 Dundas St W,Toronto,+1 416-519-8165
163,163,Ooshee Mediterranean Oven,Lebanese,5.0,43.66848,-79.38678,9 Charles Street W,Toronto,
164,164,Carisma,Italian,4.0,43.65032,-79.37596,15 Toronto Street,Toronto,+1 416-864-7373
165,165,CN Tower,Landmarks & Historical Buildings,4.0,43.642561,-79.387062,301 Front St W,Toronto,+1 416-868-6937
166,166,Radisson Admiral Hotel Toronto-Harbourfront,Hotels,3.5,43.6386255355039,-79.3872249365235,249 Queen's Quay West,Toronto,+1 416-203-3333
167,167,Patria,Spanish,4.0,43.6455399,-79.39641,480 King Street W,Toronto,+1 416-367-0505
168,168,Le Baratin,French,4.5,43.65007,-79.4351,1600 Dundas Street. W,Toronto,+1 416-534-8800
169,169,Balsamico Ristorante,Italian,4.5,43.70154,-79.39697,2029 Yonge St,Toronto,+1 647-348-0337
170,170,Nomé Izakaya,Lounges,4.0,43.7626495361328,-79.4114685058594,4848 Yonge Street,Toronto,+1 647-347-7937
171,171,FET ZUN,Middle Eastern,4.5,43.67524,-79.40636,252 Dupont St,Toronto,+1 647-352-3337
172,172,Daldongnae,Korean,4.0,43.6642855,-79.415693,658 Bloor Street,Toronto,+1 416-901-2820
173,173,Luna Junction,Portuguese,4.5,43.6656,-79.46276,2800 Dundas St W,Toronto,+1 416-762-4116
174,174,Blu Ristorante,Italian,4.0,43.6716078104954,-79.388438500464,17 Yorkville Ave,Toronto,+1 416-921-1471
175,175,Museum Tavern,American (Traditional),3.5,43.6686897,-79.3958511,208 Bloor Street W,Toronto,+1 416-920-0110
176,176,Lamesa Filipino Kitchen,Filipino,4.0,43.682297,-79.423948,634 St Clair Avenue W,Toronto,+1 647-343-1110
177,177,Bodega Henriette,Breakfast & Brunch,4.5,43.65159,-79.3678,234 King Street E,Toronto,
178,178,Tokyo Kitchen,Japanese,4.0,43.66908,-79.38509,20 Charles Street E,Toronto,+1 416-968-9889
179,179,Enoteca Sociale,Italian,4.0,43.6496799,-79.42567,1288 Dundas St W,Toronto,+1 416-534-1200
180,180,Bar Buca,Bars,4.0,43.6439229362435,-79.3998403851863,75 Portland Street,Toronto,+1 416-599-2822
181,181,EAT BKK Thai Kitchen & Bar,Thai,4.5,43.7956999,-79.41915,6307 Yonge Street,Toronto,+1 647-350-9336
182,182,Mykonos Mediterranean Grill,Greek,4.0,43.67436,-79.38799,881 Yonge Street,Toronto,+1 416-963-8444
183,183,Madrina Bar y Tapas,Tapas Bars,4.0,43.65044,-79.35992,2 Trinity Street,Toronto,+1 416-548-8055
184,184,Pinky's Ca Phe,Vietnamese,4.0,43.6557045377745,-79.4138196639558,53 Clinton Street,Toronto,
185,185,Gio Rana's Really Really Nice Restaurant,Italian,4.0,43.663335336163,-79.3304189287309,1220 Queen Street East,Toronto,+1 416-469-5225
186,186,Hacienda las Américas,Mexican,4.5,43.65688,-79.40703,424 College Street,Toronto,+1 647-347-2931
187,187,Figs and Olives Kitchen,Mediterranean,4.5,43.66484,-79.38607,24 Wellesley Street W,Toronto,+1 416-546-2873
188,188,Soos,Malaysian,4.0,43.6462593,-79.4197464,94 Ossington Avenue,Toronto,+1 416-901-7667
189,189,Xola Mexican Food,Mexican,4.0,43.6725435,-79.2881094,2222A Queen Street  E,Toronto,+1 647-827-9070
190,190,A La Turk,Turkish,4.5,43.73357,-79.40419,3443 Yonge Street,Toronto,+1 416-770-1122
191,191,El Catrin Destileria,Mexican,3.5,43.65052,-79.35883,18 Tank House Lane,Toronto,+1 416-203-2121
192,192,Greedy Duck & Noodles,Chinese,4.0,43.657786,-79.402371,316 College Street,Toronto,+1 647-748-0168
193,193,Uncle Mikey's,Korean,4.5,43.64966,-79.43484,1597 Dundas Street W,Toronto,+1 416-537-8973
194,194,Kovalsky Restaurant,Polish,4.5,43.6270435,-79.4988143,667 The Queensway,Toronto,+1 416-201-6999
195,195,Hajime Udon,Japanese,4.5,43.67508,-79.40687,270 Dupont Street,Toronto,+1 416-792-7790
196,196,Wynona,Italian,4.5,43.66706,-79.34454,819 Gerrard Street E,Toronto,+1 416-778-5171
197,197,King's Tacos,Mexican,4.0,43.67803,-79.4440599,1190 St Clair Avenue W,Toronto,+1 647-342-0262
198,198,Dasoni,Korean,4.5,43.68233,-79.42381,630 St Clair Ave W,Toronto,+1 647-343-2878
199,199,Barque Smokehouse,Barbeque,4.0,43.6480097,-79.4496592,299 Roncesvalles Avenue,Toronto,+1 416-532-7700
200,200,Positano Restaurant,Pizza,4.5,43.70471,-79.3884,633 Mount Pleasant Road,Toronto,+1 416-932-3982
201,201,Cactus Club Cafe,Cocktail Bars,4.0,43.6493899,-79.38214,77 Adelaide Street W,Toronto,+1 647-748-2025
202,202,Ramen Isshin,Ramen,4.5,43.65634,-79.40689,421 College Street,Toronto,+1 416-367-4013
203,203,School Restaurant,Bakeries,3.5,43.63784,-79.42435,70 Fraser Avenue,Toronto,+1 416-588-0005
204,204,Edomae Kiyomi,Sushi Bars,4.0,43.66012,-79.37813,76 Gerrard Street E,Toronto,+1 416-979-1134
205,205,Flor de Sal,Modern European,4.0,43.6775398,-79.4070129,501 Davenport Road,Toronto,+1 416-923-2604
206,206,Le Sélect Bistro,French,4.0,43.643784032883,-79.39680918669,432 Wellington Street W,Toronto,+1 416-596-6405
207,207,Brothers,Wine Bars,4.0,43.6709006518955,-79.3900142982602,1240 Bay Street,Toronto,+1 416-804-6066
208,208,Batifole Restaurant,French,4.0,43.66678,-79.34733,744 Gerrard Street E,Toronto,+1 416-462-9965
209,209,Stelvio,Italian,4.0,43.65168,-79.40769,791 Dundas Street W,Toronto,
210,210,Kintako Japanese Restaurant,Japanese,4.0,43.711488,-79.3640926,214 Laird Drive,Toronto,+1 416-800-6074
211,211,CANO Restaurant,Italian,4.5,43.67871,-79.44058,1108 St Clair Avenue W,Toronto,+1 416-901-3655
212,212,Lao Thai Restaurant,Thai,4.0,43.6426406,-79.4273649,4 Gladstone Avenue,Toronto,+1 416-855-2028
213,213,Chadwick's,Canadian (New),4.0,43.673524,-79.4118708,268 Howland Avenue,Toronto,+1 416-944-1606
214,214,Isaan Der,Thai,4.0,43.6652858,-79.4679385,2961 Dundas Street W,Toronto,+1 416-604-0062
215,215,George,Canadian (New),4.5,43.65323,-79.37446,111 Queen Street E,Toronto,+1 416-863-6006
216,216,Mother Tongue,Cocktail Bars,4.0,43.64739,-79.39327,348 Adelaide Street W,Toronto,+1 647-243-5858
217,217,Athens Restaurant,Greek,4.0,43.6789599,-79.34341,707 Danforth Avenue,Toronto,+1 416-465-4441
218,218,Koricancha Restaurant,Peruvian,4.5,43.6951899,-79.45153,1885 Eglinton Avenue W,Toronto,+1 647-347-0584
219,219,Pomegranate Restaurant,Middle Eastern,4.0,43.6569,-79.40694,420 College Street,Toronto,+1 416-921-7557
220,220,Mayrik,Mediterranean,4.5,43.70568,-79.3754,1580 Bayview Avenue,Toronto,+1 416-483-0922
221,221,Raku,Japanese,4.0,43.64831,-79.39944,456 Queen St W,Toronto,+1 416-546-9325
222,222,Shitamachi Tendon Akimitsu,Japanese,3.5,43.65729,-79.38358,41 Elm Street,Toronto,+1 416-519-6794
223,223,Jules Bistro,French,4.0,43.64808,-79.39556,147 Spadina Avenue,Toronto,+1 416-348-8886
224,224,BAO,Chinese,3.5,43.6523896094244,-79.398137748683,2-270 Spadina Avenue,Toronto,+1 416-901-7885
225,225,Local Liberty Village,Sports Bars,4.0,43.6384689262493,-79.4192124903202,171 E Liberty Street,Toronto,+1 416-901-8351
226,226,Mermaid Fish and Grill House,Seafood,4.5,43.68879,-79.39207,44 St Clair Avenue E,Toronto,+1 416-546-9158
227,227,Ristorante Marzitelli,Italian,5.0,43.66702,-79.38121,555 Church Street,Toronto,+1 647-784-9656
228,228,STACK,Barbeque,4.0,43.72929,-79.4029599,3265 Yonge Street,Toronto,+1 647-346-1416
229,229,7 Numbers Restaurant,Italian,4.0,43.7037199,-79.4137,516 Eglinton Avenue W,Toronto,+1 416-322-5183
